# Resultados del experimento cliente-servidor - EJ 4B
Host: 192.168.56.10, Puerto: 8080

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| CLIENTE:: | 1000 | 0.071049 | 2.238989 | OK |
| CLIENTE:: | 1000 | 0.087976 | 2.096891 | OK |
| CLIENTE:: | 1000 | 0.077009 | 1.983881 | OK |
| CLIENTE:: | 1000 | 0.066996 | 1.960993 | OK |
| CLIENTE:: | 1000 | 0.072002 | 1.933098 | OK |
| CLIENTE:: | 1000 | 0.070095 | 2.087116 | OK |
| CLIENTE:: | 1000 | 0.087023 | 1.990080 | OK |
| CLIENTE:: | 1000 | 0.066042 | 2.182961 | OK |
| CLIENTE:: | 1000 | 0.070810 | 2.199173 | OK |
| CLIENTE:: | 1000 | 0.080109 | 2.078772 | OK |
| CLIENTE:: | 1000 | 0.082016 | 2.541780 | OK |
| [PROMEDIO - FINAL] CLIENTE [cantidad_bytes, promedio write, promedio read]:: | 1000 | 0.093842 | 2.268255 |

| Modelo | Tamaño (bytes) | Tiempo write (ms) | Tiempo read (ms) | Resultado |
| ------ | -------------- | ----------------- | ---------------- | --------- |
| CLIENTE:: | 10000 | 0.324965 | 5.354881 | OK |
| CLIENTE:: | 10000 | 0.134945 | 4.143953 | OK |
| CLIENTE:: | 10000 | 0.090837 | 2.804995 | OK |
| CLIENTE:: | 10000 | 0.106096 | 3.834009 | OK |
| CLIENTE:: | 10000 | 0.097036 | 3.324032 | OK |
| CLIENTE:: | 10000 | 0.102043 | 2.743006 | OK |
| CLIENTE:: | 10000 | 0.116825 | 2.391100 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.772808 | OK |
| CLIENTE:: | 10000 | 0.109196 | 2.488852 | OK |
| CLIENTE:: | 10000 | 0.127077 | 2.641916 | OK |
| CLIENTE:: | 10000 | 0.120163 | 2.970934 | OK |
| CLIENTE:: | 10000 | 0.092030 | 3.179073 | OK |
| CLIENTE:: | 10000 | 0.122070 | 3.701925 | OK |
| CLIENTE:: | 10000 | 0.137091 | 2.614975 | OK |
| CLIENTE:: | 10000 | 0.095129 | 2.495050 | OK |
| CLIENTE:: | 10000 | 0.096083 | 2.276897 | OK |
| CLIENTE:: | 10000 | 0.097036 | 2.439976 | OK |
| CLIENTE:: | 10000 | 0.094891 | 2.611160 | OK |
| CLIENTE:: | 10000 | 0.128031 | 2.405882 | OK |
| CLIENTE:: | 10000 | 0.102997 | 2.556086 | OK |
| CLIENTE:: | 10000 | 0.109911 | 2.547026 | OK |
| CLIENTE:: | 10000 | 0.092983 | 3.073931 | OK |
| CLIENTE:: | 10000 | 0.097990 | 2.617836 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.467155 | OK |
| CLIENTE:: | 10000 | 0.102997 | 2.424002 | OK |
| CLIENTE:: | 10000 | 0.092983 | 3.133059 | OK |
| CLIENTE:: | 10000 | 0.106096 | 2.965927 | OK |
| CLIENTE:: | 10000 | 0.107050 | 2.708912 | OK |
| CLIENTE:: | 10000 | 0.105858 | 2.633095 | OK |
